candidate,party,receipts,disbursements,ind_contributors
" ZIEGLER, EDWARD RAY",REP,37925,37259.84,12925
"AALDERS, TIMOTHY NOEL",CON,106499.18,106495.24,19799.18
"AARESTAD, DAVID",DEM,168918.38,168918.38,111668.9
"ABBOUD, DEEDRA",DEM,114927.68,111689.33,92824.52
"ABDULAHI, JAMAL MR.",DEM,148772.94,148602.94,129135.18
"ABEL, KEVIN",DEM,898580.07,898580.07,733163.2
"ABRAHAM, RALPH LEE DR. JR.",REP,933200.1,1037554.78,494948.94
"ABRAMS, DR MARCIA KAREN",REP,0,0,0
"ABRAMS, JOHN E.",DEM,442,404.97,378
"ABRAMS, MARCIA KAREN DR PHD",REP,0,0,0
"ABROMS, DAVID",REP,289963.29,289963.29,16380.87
"ACCAVITTI, FRANK JR",DEM,12581,12581,1581
"ACCAVITTI, FRANK MR. JR",DEM,0,0,0
"ACHILLE, CARL H.",DEM,14695.23,14458.77,11227.47
"ACKERMAN, GARY L.",DEM,1.02,837.14,0
"ACKISON, MELISSA",REP,38378,47019,37307
"ADADI, ELIZABETH",REP,27268.24,16636.28,13464.12
"ADAIR, GLENN DAREN MR. N/A",LIB,508,470,0.72
ADAM DAVIDSON DEMARCO,DEM,18026,20823,14026
"ADAMS, ALMA SHEALEY",DEM,589889.17,522313.06,131661.88
"ADAMS, ANN MARIE DR",DEM,3571,3571,3571
"ADAMS, BOYCE",REP,0,16565.38,0
"ADAMS, DENISE DARCEL",DEM,386150.07,357042.77,340759.54
"ADAMS, DESMUND DOUGLAS",DEM,2099.1,2898.99,2099.1
"ADAMS, ELLIOTT",DEM,1234.2,1845.79,1234.2
"ADAMS, KIMBERLY",DEM,7988.09,7988.09,7988.09
"ADAMS, KIRK DAVID",REP,0.09,0,0
"ADAMS, SANDY",REP,0,8018.5,0
"ADDIS, PAUL DAVID",REP,1482610,1481343.59,9560
"ADDIVINOLA, FRANK J JR",REP,0,0,0
"ADDIVINOLA, FRANK JOHN JR",REP,0,0,0
"ADERHOLT, ROBERT B. REP.",REP,1550530.91,1300365.01,468336.48
"ADIA, VANESSA MICHELLE",DEM,208585.35,198453.18,197573.83
"AGNEW, ERIC MR.",IND,10226,8898.99,6337.26
"AGRA, JOHN",REP,0,1794.49,0
"AGUILAR, PETE",DEM,2768324.72,2493817.05,1679596.48
"AGUILERA, JUSTIN",REP,26127.27,22256.57,23993.62
"AHMAD, NILOFER NINA",DEM,675230.25,674724.23,223491.79
"AHN, POGA",DEM,3904.29,3904.29,893.8
"AHN, ROBERT LEE",DEM,1670407.62,1670341.57,1169307.62
"AINGE, TANNER D",REP,296913,296904,211515
"AKINS, WILLIAM ALAN",REP,32285.07,32285.07,13425.36
"ALAMEEL, DAVID M",DEM,0,0,0
"ALBARRAN, CHARLENE MCARTHUR",DEM,8366,1950,0
"ALBERTSON, ED",DEM,27509.82,31997.23,25067.87
"ALBRO, CATHERINE",DEM,170947.85,161076.94,119671.91
"ALEXANDER, LAMAR",REP,334266.22,241687.27,64300
"ALEXANDER, SHERRILL KENNETH",REP,10180.69,16931.69,965
"ALI, MARK ANTHONY",DEM,0,349,385
"ALLEN, BRAD DR",REP,103676.23,103780,103676.23
"ALLEN, CHAD",REP,33011.58,33011.58,4625
"ALLEN, EDWARD",DEM,13344.39,13276.99,9738
"ALLEN, JASON EDWARD",REP,1573.83,642,0
"ALLEN, KATHLEEN",DEM,96833.08,71827.82,45833.08
"ALLEN, KATHRY",DEM,869873.36,869801.14,862582.87
"ALLEN, RICHARD W",REP,1124623.91,1149262.52,713066.75
"ALLEN, SAMUEL",DEM,1318.83,1318.83,1220.58
"ALLI, HELEN",OTH,15331.14,7967.52,13629.16
"ALLISON, ROGER",REP,30384.46,30384.46,28309.46
"ALLMAN, MICHAEL",REP,415109.45,415109.45,113032
"ALLOCCO, PATRICK S KD2-ONW",REP,15500,19047.03,9900
"ALLRED, COLIN",DEM,5972679.56,5869234.53,4926551.99
"ALM, VANCE STEVEN",DEM,3600,3183.5,1100
"ALTMAN, NATHAN J",IND,50055.19,49705.49,40055.19
"ALU CAMPAGNA, SHERYL FRANCYS",DEM,31248,28627.49,29218
"AMASH, JUSTIN",REP,633938.01,769773.3,580530.57
"AMASON, THOMAS MARRION III",REP,15380.59,14007.45,8366.4
"AMATA, AUMUA",REP,167191,168373.19,110791
"AMATUL-WADUD, TAHIRAH",DEM,146046.3,150512.48,137361.3
"AMJAD, AYNE",REP,18650,19135.34,3650
"AMODEI, MARK EUGENE EUGENE",REP,1253236.34,1105499.66,664967
"ANDARZA, IVAN ARTURO",REP,8896.77,8235.6,1035
"ANDERSON KELLIHER, MARGARET",DEM,535859.59,535859.59,510159.59
"ANDERSON, BOB",REP,9800,10791,6800.52
"ANDERSON, BRYAN NEIL",DEM,19550.26,19549.87,14550.26
"ANDERSON, CONSUELO E",REP,14606.96,14573.3,13300
"ANDERSON, JERAMEY DEWAYNE",DEM,153050.3,152283.77,134520.34
"ANDERSON, ROBERT JON",DEM,17096.86,15946.32,13960
"ANDREI, LINDA",DEM,283984.38,283974.38,112829.96
"ANDRES, EDWARD H",DEM,13370,13370,4866
"ANDREWS, NAOMI",DEM,102750.57,101781.33,99001.11
"ANDREWS, ROBERT E",DEM,93.16,240,0
"ANDREWS, ROBERT E. MR.",DEM,1250.07,8223.8,0
"ANGELLE, SCOTT MR.",REP,1698.08,17073.7,100
"ANGLE, SHARRON E",REP,52940.03,35514.07,52940.03
"ANGLE, SHARRON E",REP,2749,1352,2749
"ANTHONY, AARON",DEM,75292.07,75292.07,72694.4
"ANZALONE, JOHN ANTHONY DR.",DEM,91250.5,89162.45,62010.5
"APPLE, GARY WINSTON",DEM,33924.86,33924.86,24572.68
"APPLEGATE, DOUGLAS LOREN",DEM,1006600.45,1069305.57,952333.92
"ARATA, LARRY V MR. III",DEM,19789,20101.3,18389
"ARAUJO, HECTOR MR.",DEM,3580,3580,3580
"ARCANGEL, DANIEL R",DEM,380,212.25,50
"ARCHER, STEVEN",DEM,0,0,0
"ARELLANO, SERGIO",REP,40346.71,40346.71,36840.19
"ARKOOSH, VALERIE ANN",DEM,0,0,0
"ARLETT, ROB",REP,225814,223795.11,199552
"ARMSTRONG, KELLY",REP,1769588.98,1653121.81,984322.13
"ARMSTRONG, WILLIAM L III",REP,0.04,0.08,0
"ARNOLD-JONES, JANICE E",REP,319022.65,319022.65,294729.43
"ARONOFF, PHILLIP ARNOLD",REP,98542.03,98484.59,89542.03
"ARORA, HARRY",REP,754776.65,754776.65,253854.37
"ARPAIO, JOE",REP,1455917.62,1414523.89,1444593.3
"ARREDONDO-LYNCH, ALMA D.D.S",REP,31465,30836.54,11465
"ARRINGTON, JODEY COOK",REP,1368767.02,1090282.95,843468.47
"ARRINGTON, KATHERINE ELIZABETH",REP,1675863.93,1674899.95,904794.64
"ARROYAVE, NATHAN",DEM,1572.2,550.9,1572.2
"ASHBY, JOSEPH",REP,5329.7,5429.7,4115
"ASHE, DAVID BENJAMIN",DEM,0,0,0
"ASHFORD, BRAD",DEM,640016.12,640744.24,435862.33
"ASHOOH, RICHARD E",REP,22.15,237.7,0
"ASSINI, MARK W",REP,162.15,5687.56,162.15
"ATANUS, SUSANNE",DEM,746,677,0
"ATHANASOPOULOS, GEORGE MR.",REP,0,3033.84,0
"ATKINSON, THOMAS M.",REP,0,5717.41,0
