cycle,race,state,seat,election_date,candidate_name,candidate_party,num_polls,last_poll,poll_avg,candidate_name_DEM,candidate_name_REP,dem_incumbent,rep_incumbent,pending
2022,Governor,Alaska,Governor,2022-11-08,Bill Walker,ind,3,2022-07-24,0.30933333333333335,Walker,Dunleavy,n,y,NA
2022,Governor,Alaska,Governor,2022-11-08,Mike Dunleavy,rep,3,2022-07-24,0.48200000000000004,Walker,Dunleavy,n,y,NA
2022,Governor,Arizona,Governor,2022-11-08,Katie Hobbs,dem,6,2022-07-20,0.45500000000000007,Hobbs,Lake,n,n,NA
2022,Governor,Arizona,Governor,2022-11-08,Kari Lake,rep,6,2022-07-20,0.38666666666666677,Hobbs,Lake,n,n,NA
2022,Governor,California,Governor,2022-11-08,Gavin Newsom,dem,2,2022-08-15,0.5349999999999999,Newsom,Dahle,y,n,NA
2022,Governor,California,Governor,2022-11-08,Brian Dahle,rep,2,2022-08-15,0.2799999999999999,Newsom,Dahle,y,n,NA
2022,Governor,Colorado,Governor,2022-11-08,Jared Polis,dem,4,2022-06-08,0.5225000000000002,Polis,Ganahl,y,n,NA
2022,Governor,Colorado,Governor,2022-11-08,Heidi Ganahl,rep,4,2022-06-08,0.345,Polis,Ganahl,y,n,NA
2022,Governor,Florida,Governor,2022-11-08,Charlie Crist,dem,7,2022-08-15,0.44899999999999995,Crist,DeSantis,n,y,NA
2022,Governor,Florida,Governor,2022-11-08,Ron DeSantis,rep,7,2022-08-15,0.4948571428571429,Crist,DeSantis,n,y,NA
2022,Governor,Georgia,Governor,2022-11-08,Stacey Abrams,dem,15,2022-08-07,0.44405895525056516,Abrams,Kemp,n,y,NA
2022,Governor,Georgia,Governor,2022-11-08,Brian Kemp,rep,15,2022-08-07,0.511087020578246,Abrams,Kemp,n,y,NA
2022,Governor,Illinois,Governor,2022-11-08,J.B. Pritzker,dem,2,2022-07-19,0.49449999999999983,Pritzker,Bailey,y,n,NA
2022,Governor,Illinois,Governor,2022-11-08,Darren Bailey,rep,2,2022-07-19,0.41000000000000003,Pritzker,Bailey,y,n,NA
2022,Governor,Iowa,Governor,2022-11-08,Deidre DeJear,dem,2,2022-07-14,0.3604999999999999,DeJear,Reynolds,n,y,NA
2022,Governor,Iowa,Governor,2022-11-08,Kim Reynolds,rep,2,2022-07-14,0.5175,DeJear,Reynolds,n,y,NA
2022,Governor,Kansas,Governor,2022-11-08,Laura Kelly,dem,1,2022-08-10,0.45399999999999996,Kelly,Schmidt,y,n,NA
2022,Governor,Kansas,Governor,2022-11-08,Derek Schmidt,rep,1,2022-08-10,0.479,Kelly,Schmidt,y,n,NA
2022,Governor,Massachusetts,Governor,2022-11-08,Maura Healey,dem,4,2022-07-23,0.5677999999999999,Healey,Diehl,n,n,x
2022,Governor,Massachusetts,Governor,2022-11-08,Geoff Diehl,rep,4,2022-07-23,0.2744333333333333,Healey,Diehl,n,n,x
2022,Governor,Michigan,Governor,2022-11-08,Gretchen Whitmer,dem,6,2022-08-14,0.5123333333333334,Whitmer,Dixon,y,n,NA
