model_date,race,p_dem_win,seats,seats_lower,seats_upper
2022-07-01,Senate,0.4902,49.115,45.35036992676875,52.879630073231255
2022-07-02,Senate,0.4902,49.115,45.35036992676875,52.879630073231255
2022-07-03,Senate,0.5267,49.38,45.63136733979284,53.12863266020717
2022-07-04,Senate,0.5512,49.5882,45.72480991039506,53.45159008960494
2022-07-05,Senate,0.5604,49.6486,45.829661046905315,53.46753895309469
2022-07-06,Senate,0.549,49.5645,45.7230209617789,53.405979038221105
2022-07-07,Senate,0.5357,49.4653,45.58371888076864,53.34688111923136
2022-07-08,Senate,0.5292,49.4076,45.479565698611815,53.33563430138819
2022-07-09,Senate,0.5353,49.4526,45.508772054047135,53.39642794595286
2022-07-10,Senate,0.5632,49.6652,45.809494103986935,53.52090589601306
2022-07-11,Senate,0.5877,49.8586,46.118344425183096,53.59885557481691
2022-07-12,Senate,0.5874,49.858,46.11694745898752,53.59905254101248
2022-07-13,Senate,0.5779,49.775,46.05280003093744,53.49719996906256
2022-07-14,Senate,0.5585,49.6321,45.846633971112496,53.41756602888751
2022-07-15,Senate,0.5675,49.697,45.95025391762796,53.44374608237205
2022-07-16,Senate,0.5688,49.709,45.9655590878243,53.4524409121757
2022-07-17,Senate,0.5751,49.7514,46.02584272067261,53.47695727932739
2022-07-18,Senate,0.5864,49.8517,46.15622020242897,53.54717979757103
2022-07-19,Senate,0.6167,50.0649,46.54316385017433,53.58663614982567
2022-07-20,Senate,0.6747,50.4725,47.06724848963293,53.87775151036706
2022-07-21,Senate,0.6668,50.4205,46.978012675160485,53.86298732483951
2022-07-22,Senate,0.6589,50.372,46.90471066870879,53.83928933129121
2022-07-23,Senate,0.6589,50.372,46.90471066870879,53.83928933129121
2022-07-24,Senate,0.6596,50.388,46.89667196543514,53.87932803456486
2022-07-25,Senate,0.6611,50.3983,46.91167950232949,53.88492049767051
2022-07-26,Senate,0.6614,50.3808,46.90523620571444,53.85636379428556
2022-07-27,Senate,0.6984,50.6829,47.30829439125472,54.057505608745274
2022-07-28,Senate,0.7069,50.7441,47.472183897874864,54.01601610212514
2022-07-29,Senate,0.711,50.7707,47.51910154853024,54.02229845146975
2022-07-30,Senate,0.711,50.7707,47.51910154853024,54.02229845146975
2022-07-31,Senate,0.7165,50.8232,47.55105133186154,54.09534866813846
2022-08-01,Senate,0.7514,51.0327,47.91512397772432,54.15027602227568
2022-08-02,Senate,0.6274,50.1897,47.06515524359987,53.314244756400136
2022-08-03,Senate,0.6559,50.3248,47.21163319375191,53.4379668062481
2022-08-04,Senate,0.6552,50.3203,47.204706354357334,53.43589364564267
2022-08-05,Senate,0.6585,50.351,47.20970828074721,53.49229171925279
2022-08-06,Senate,0.6652,50.3964,47.248143823578985,53.544656176421014
2022-08-07,Senate,0.6361,50.2256,47.121627272634186,53.329572727365814
2022-08-08,Senate,0.765,51.1227,48.07303511847443,54.17236488152557
2022-08-09,Senate,0.7674,51.136,48.09440878557661,54.177591214423394
2022-08-10,Senate,0.7686,51.1495,48.11465423866777,54.18434576133224
2022-08-11,Senate,0.7676,51.1453,48.108712487374426,54.18188751262557
2022-08-12,Senate,0.7747,51.2197,48.16578661287098,54.273613387129025
2022-08-13,Senate,0.7747,51.2197,48.16578661287098,54.273613387129025
2022-08-14,Senate,0.7698,51.1567,48.13112462476698,54.18227537523302
2022-08-15,Senate,0.7819,51.2682,48.23326791157742,54.30313208842258
2022-08-16,Senate,0.7095,50.6584,47.72008560029434,53.59671439970566
2022-08-17,Senate,0.7112,50.6636,47.716208599583254,53.61099140041675
2022-08-18,Senate,0.6439,50.2815,47.13982692363932,53.42317307636068
2022-08-19,Senate,0.6407,50.2594,47.09967502604508,53.41912497395492
2022-08-20,Senate,0.6407,50.2594,47.09967502604508,53.41912497395492
2022-08-21,Senate,0.6801,50.4604,47.43089486459768,53.48990513540232
2022-08-22,Senate,0.6614,50.3569,47.22531671038353,53.488483289616475
2022-08-23,Senate,0.6463,50.3182,47.02159436905158,53.61480563094842
2022-08-24,Senate,0.6739,50.5665,47.10144695332192,54.03155304667808
2022-08-25,Senate,0.66,50.4813,46.96293233000045,53.999667669999546
2022-08-26,Senate,0.6634,50.5032,47.00319477515666,54.00320522484334
2022-08-27,Senate,0.6403,50.3644,46.790688214088696,53.93811178591131
2022-08-28,Senate,0.6548,50.4749,46.98514507809329,53.96465492190671
2022-08-29,Senate,0.6337,50.353,46.82183117521613,53.88416882478387
2022-08-30,Senate,0.6557,50.5341,46.91171880839136,54.15648119160865
2022-08-31,Senate,0.6615,50.5744,46.97457351125917,54.17422648874082
2022-09-01,Senate,0.6615,50.5744,46.97457351125917,54.17422648874082
2022-09-02,Senate,0.6597,51,47,54
2022-09-03,Senate,0.6575,51,47,54
